fuelType,rating,renterTripsTaken,reviewCount,location.city,location.country,location.latitude,location.longitude,location.state,owner.id,rate.daily,vehicle.make,vehicle.model,vehicle.type,vehicle.year,airportcity
ELECTRIC,5.0,13.0,12.0,Seattle,US,47.449107,-122.30884099999999,WA,12847615.0,135.0,Tesla,Model X,suv,2019.0,Albuquerque
ELECTRIC,5.0,2.0,1.0,Tijeras,US,35.111059999999995,-106.276551,NM,15621242.0,190.0,Tesla,Model X,suv,2018.0,Albuquerque
HYBRID,4.92,28.0,24.0,Albuquerque,US,35.127163,-106.566681,NM,10199256.0,35.0,Toyota,Prius,car,2012.0,Albuquerque
GASOLINE,5.0,21.0,20.0,Albuquerque,US,35.149726,-106.711425,NM,9365496.0,75.0,Ford,Mustang,car,2018.0,Albuquerque
GASOLINE,5.0,3.0,1.0,Albuquerque,US,35.208659000000004,-106.60100800000001,NM,3553565.0,47.0,Chrysler,Sebring,car,2010.0,Albuquerque
GASOLINE,5.0,13.0,12.0,Albuquerque,US,35.068834,-106.57611100000001,NM,7815747.0,58.0,Mercedes-Benz,GL-Class,suv,2012.0,Albuquerque
GASOLINE,4.42,13.0,12.0,Albuquerque,US,35.045552,-106.63381499999998,NM,3112016.0,42.0,GMC,Yukon XL,suv,2005.0,Albuquerque
GASOLINE,4.9,12.0,10.0,Albuquerque,US,35.186541999999996,-106.686481,NM,9536762.0,117.0,Ford,Expedition,suv,2018.0,Albuquerque
GASOLINE,5.0,1.0,1.0,Albuquerque,US,35.061213,-106.629406,NM,14893743.0,102.0,Ford,Focus RS,car,2016.0,Albuquerque
GASOLINE,4.76,22.0,17.0,Albuquerque,US,35.115363,-106.55691100000001,NM,11389136.0,49.0,Ford,EcoSport,suv,2018.0,Albuquerque
GASOLINE,4.95,23.0,22.0,Albuquerque,US,35.148891,-106.71101999999999,NM,9365496.0,75.0,Ford,F-150,truck,2012.0,Albuquerque
HYBRID,4.7,11.0,10.0,Albuquerque,US,35.121564,-106.598445,NM,10199256.0,35.0,Toyota,Prius,car,2012.0,Albuquerque
GASOLINE,5.0,11.0,7.0,Albuquerque,US,35.078547,-106.497368,NM,9346980.0,88.0,Volkswagen,Tiguan,suv,2018.0,Albuquerque
HYBRID,4.92,51.0,38.0,Albuquerque,US,35.186381,-106.72780800000001,NM,3070318.0,42.0,Toyota,Avalon Hybrid,car,2013.0,Albuquerque
GASOLINE,4.88,61.0,56.0,Albuquerque,US,35.161777,-106.535379,NM,3092621.0,42.0,Saab,9-3,car,2011.0,Albuquerque
GASOLINE,4.5,2.0,2.0,Albuquerque,US,35.108365,-106.59858899999999,NM,14428787.0,65.0,Ram,CV Tradesman,minivan,2014.0,Albuquerque
GASOLINE,,0.0,0.0,Albuquerque,US,35.115653,-106.578805,NM,1889102.0,42.0,Jeep,Cherokee,suv,2018.0,Albuquerque
GASOLINE,5.0,23.0,20.0,Albuquerque,US,35.161964000000005,-106.53544099999999,NM,3092621.0,116.0,Porsche,Cayman,car,2007.0,Albuquerque
GASOLINE,4.67,5.0,3.0,Albuquerque,US,35.049006,-106.61735700000001,NM,4112693.0,119.0,Jeep,Wrangler JK,suv,2018.0,Albuquerque
GASOLINE,5.0,24.0,19.0,Santa Fe,US,35.597390999999995,-106.040869,NM,1603416.0,80.0,Ford,Mustang,car,2019.0,Albuquerque
GASOLINE,4.5,4.0,2.0,Albuquerque,US,35.190108,-106.74758100000001,NM,8860306.0,97.0,Ford,Explorer,suv,2012.0,Albuquerque
GASOLINE,4.92,70.0,52.0,Albuquerque,US,35.153704,-106.67936999999999,NM,911080.0,41.0,Nissan,Rogue,suv,2016.0,Albuquerque
ELECTRIC,5.0,3.0,1.0,Albuquerque,US,35.213677000000004,-106.72405900000001,NM,1269071.0,171.0,Tesla,Model S,car,2015.0,Albuquerque
GASOLINE,4.72,20.0,18.0,Santa Fe,US,35.648967,-106.046019,NM,6744409.0,50.0,Dodge,Charger,car,2014.0,Albuquerque
GASOLINE,4.85,61.0,46.0,Santa Fe,US,35.597415000000005,-106.042253,NM,1603416.0,49.0,Volkswagen,Jetta,car,2019.0,Albuquerque
GASOLINE,4.82,18.0,11.0,Santa Fe,US,35.648514,-106.045212,NM,6744409.0,39.0,Hyundai,Sonata,car,2016.0,Albuquerque
GASOLINE,4.8,63.0,54.0,Rio Rancho,US,35.223908,-106.67563600000001,NM,293620.0,28.0,Chevrolet,Impala,car,2010.0,Albuquerque
GASOLINE,5.0,21.0,19.0,Albuquerque,US,35.163908,-106.577477,NM,2565503.0,32.0,Hyundai,Accent,car,2015.0,Albuquerque
GASOLINE,5.0,21.0,20.0,Albuquerque,US,35.164390999999995,-106.577068,NM,2565503.0,28.0,Ford,Focus,car,2010.0,Albuquerque
GASOLINE,,0.0,0.0,Grovetown,US,33.508520000000004,-82.236315,GA,14680097.0,125.0,GMC,Yukon XL,suv,2018.0,Augusta
GASOLINE,5.0,3.0,3.0,Evans,US,33.534464,-82.120888,GA,7697716.0,112.0,Toyota,Sequoia,suv,2016.0,Augusta
GASOLINE,5.0,21.0,19.0,Augusta,US,33.367664000000005,-81.966226,GA,11515981.0,87.0,Mercedes-Benz,GLC-Class,suv,2016.0,Augusta
,5.0,9.0,8.0,Augusta,US,33.368491,-81.96643,GA,11515981.0,47.0,Ford,Fiesta,car,2019.0,Augusta
GASOLINE,5.0,9.0,8.0,Augusta,US,33.483601,-82.11030699999999,GA,14931796.0,42.0,Dodge,Journey,suv,2019.0,Augusta
HYBRID,5.0,5.0,3.0,Evans,US,33.545897,-82.19767399999999,GA,9709583.0,130.0,Lexus,ES 300h,car,2015.0,Augusta
GASOLINE,5.0,1.0,1.0,Augusta,US,33.513422999999996,-82.027434,GA,15162374.0,115.0,Cadillac,ATS,car,2015.0,Augusta
GASOLINE,4.5,3.0,2.0,Beech Island,US,33.501183000000005,-81.90767199999999,SC,2842845.0,85.0,Lexus,IS 350,car,2015.0,Augusta
GASOLINE,4.58,27.0,19.0,East Point,US,33.653209000000004,-84.492165,GA,7697843.0,24.0,smart,fortwo,car,2010.0,Atlanta
GASOLINE,5.0,52.0,44.0,Atlanta,US,33.640716999999995,-84.42758,GA,6025007.0,144.0,Land Rover,Range Rover,suv,2016.0,Atlanta
ELECTRIC,4.83,8.0,6.0,Doraville,US,33.903748,-84.280355,GA,53029.0,146.0,Tesla,Model 3,car,2020.0,Atlanta
GASOLINE,4.94,34.0,33.0,East Point,US,33.653768,-84.492429,GA,7868475.0,125.0,Porsche,718 Boxster,car,2017.0,Atlanta
GASOLINE,5.0,12.0,10.0,Grayson,US,33.906905,-83.960234,GA,1295660.0,175.0,Mercedes-Benz,S-Class,car,2015.0,Atlanta
GASOLINE,5.0,2.0,2.0,Atlanta,US,33.891295,-84.453929,GA,12796797.0,200.0,BMW,7 Series,car,2018.0,Atlanta
GASOLINE,4.93,18.0,14.0,Atlanta,US,33.903877,-84.277873,GA,53029.0,98.0,Mercedes-benz,C-Class,car,2019.0,Atlanta
GASOLINE,,0.0,0.0,Tampa,US,28.082946000000003,-82.542147,FL,14752326.0,96.0,BMW,4 Series,car,2018.0,Atlanta
GASOLINE,4.89,94.0,80.0,Atlanta,US,33.927403000000005,-84.34276700000001,GA,511103.0,150.0,Porsche,Panamera,car,2011.0,Atlanta
GASOLINE,4.85,134.0,110.0,Doraville,US,33.887491,-84.309188,GA,53029.0,99.0,Mercedes-Benz,GLA-Class,suv,2017.0,Atlanta
GASOLINE,4.87,40.0,30.0,East Point,US,33.652468,-84.492432,GA,7697843.0,42.0,Volkswagen,Jetta,car,2016.0,Atlanta
GASOLINE,4.89,40.0,35.0,Fairburn,US,33.539559999999994,-84.577374,GA,11311856.0,48.0,Acura,MDX,suv,2014.0,Atlanta
